w_um,l_um,metric_name,target_value,simulated_value,relative_error
5.4,0.056,idlin_a,0.000437183400071,0.000436195,0.0022608362322070366
5.4,0.056,idsat_a,0.0054944556595,0.00557375,0.014431700866108234
5.4,0.056,idoff_a,1.89038493056e-12,1.82315e-12,0.03556679355250828
5.4,0.056,isoff_a,2.3149735187e-14,2.31498e-14,2.7997296502954945e-06
5.4,0.14,vtlin_v,0.434388265256,0.423573,0.02489769204429638
5.4,0.14,vtsat_v,0.388118158925,0.379488,0.02223590606763574
5.4,0.14,idlin_a,0.000275077476325,0.000275448,0.0013469793308786497
5.4,0.14,idsat_a,0.0032779293822,0.00321529,0.01910943613982293
5.4,0.14,idoff_a,2.1105120897e-12,2.12127e-12,0.005097298590471051
5.4,0.14,isoff_a,3.29476475819e-13,3.21275e-13,0.024892447324541368
5.4,0.28,vtlin_v,0.323717267552,0.331004,0.022509557500912575
5.4,0.28,vtsat_v,0.312018453013,0.302393,0.03084898639824664
5.4,0.28,idlin_a,0.000189280979493,0.000189671,0.0020605372396354637
5.4,0.28,idsat_a,0.00212215847411,0.00218487,0.0295508213241712
5.4,0.28,idoff_a,4.85338104779e-12,4.9257e-12,0.014900736517057665
5.4,0.28,isoff_a,3.22158101146e-12,3.1257e-12,0.029762098522100308
5.4,0.56,vtlin_v,0.269848423206,0.278741,0.03295396981886939
5.4,0.56,vtsat_v,0.246658047357,0.255138,0.03437938771454933
5.4,0.56,idlin_a,0.000111023219638,0.00011342,0.021588099947154136
5.4,0.56,idsat_a,0.00135533198913,0.00132606,0.021597652357331177
5.4,0.56,idoff_a,9.6107004858e-12,9.75369e-12,0.014878157363375194
5.4,0.56,isoff_a,7.70370971679e-12,7.95369e-12,0.032449338357749345
5.4,1.5,vtlin_v,0.251271100166,0.261015,0.038778434239205226
5.4,1.5,vtsat_v,0.252586108301,0.242516,0.03986802112252229
5.4,1.5,idlin_a,5.58178820471e-05,5.50711e-05,0.013378903313992715
5.4,1.5,idsat_a,0.000596459608117,0.000606807,0.01734801777385444
5.4,1.5,idoff_a,7.02972193344e-12,7.0853e-12,0.007906154338142209
5.4,1.5,isoff_a,5.37766492908e-12,5.2853e-12,0.017175657148241468
5.4,2.7,vtlin_v,0.258132232658,0.261663,0.013678134286615403
5.4,2.7,vtsat_v,0.23728141886,0.244284,0.029511713026849486
5.4,2.7,idlin_a,3.51829266688e-05,3.38775e-05,0.037103981743441525
5.4,2.7,idsat_a,0.000374507796361,0.000375491,0.0026253222190660707
5.4,2.7,idoff_a,4.19994374789e-12,4.35579e-12,0.03710674748639086
5.4,2.7,isoff_a,2.62115512493e-12,2.55579e-12,0.024937526325057024
