corner_name,w_um,l_um,parameter_name,metric_name,sensitivity
w_min_l_min,0.14,0.028,a0,idsat_a,-1.4999999999995242e-06
w_min_l_min,0.14,0.028,keta,idoff_a,0.0
w_min_l_min,0.14,0.028,keta,isoff_a,0.0
w_min_l_min,0.14,0.028,keta,vtlin_v,0.0
w_min_l_min,0.14,0.028,keta,vtsat_v,0.0
w_min_l_min,0.14,0.028,keta,idlin_a,0.0
w_min_l_min,0.14,0.028,keta,idsat_a,0.0
w_min_l_max,0.14,2.7,toxe,idoff_a,2.4999999999958667e-06
w_min_l_max,0.14,2.7,toxe,isoff_a,2.346666666666671e-06
w_min_l_max,0.14,2.7,toxe,vtlin_v,916666.6666698966
w_min_l_max,0.14,2.7,toxe,vtsat_v,1666666.6666683338
w_min_l_max,0.14,2.7,toxe,idlin_a,231.833333333336
w_min_l_max,0.14,2.7,toxe,idsat_a,2627.5000000000023
w_min_l_max,0.14,2.7,vth0,idoff_a,-2.046153846153932e-13
w_min_l_max,0.14,2.7,vth0,isoff_a,-2.047169230769231e-13
w_min_l_max,0.14,2.7,vth0,vtlin_v,1.0953846153846134
w_min_l_max,0.14,2.7,vth0,vtsat_v,1.0622307692307704
w_min_l_max,0.14,2.7,vth0,idlin_a,-6.311538461538471e-07
w_min_l_max,0.14,2.7,vth0,idsat_a,-1.0663076923076886e-05
w_min_l_max,0.14,2.7,u0,idoff_a,9.999999999996928e-18
w_min_l_max,0.14,2.7,u0,isoff_a,1.0299999999999976e-17
w_min_l_max,0.14,2.7,u0,vtlin_v,-5.646666666666578e-05
w_min_l_max,0.14,2.7,u0,vtsat_v,-5.993333333333221e-05
w_min_l_max,0.14,2.7,u0,idlin_a,8.344000000000002e-10
w_min_l_max,0.14,2.7,u0,idsat_a,9.821999999999989e-09
w_min_l_max,0.14,2.7,vsat,idoff_a,0.0
w_min_l_max,0.14,2.7,vsat,isoff_a,-2.0000000000009732e-22
