w_um,l_um,toxe,vth0,u0,vsat,rdsw,nfactor,eta0,cit,voff,k2,ub,uc,a0,keta
0.14,0.028,9.755685140421092e-10,0.2818111994337077,437.23525978969076,114627.72748857431,144.36053671503728,0.9705999797512708,0.059982162076931404,0.00015124891114475035,-0.1350735324677582,0.007621828150288753,4.0979222172104556e-18,-0.04701013552580265,0.9798986447419734,-0.048000454116724475
0.14,0.056,1.0015668351869616e-09,0.303965839509026,433.0797096632213,101563.71206404857,153.07022042212753,1.0932584541049273,0.05501331972238192,0.0001442321259179898,-0.12750261837483712,0.014945675629793688,3.8334608724417065e-18,-0.04362712350086157,0.9559398091153927,-0.043248446991239115
0.14,0.14,1.029265635561917e-09,0.321546316029594,449.2095184468931,111660.12904372196,163.2023161154314,1.000669000031277,0.044665923659970866,0.00013420315968554753,-0.11985810399985607,0.02186949976569172,3.384962990339122e-18,-0.039237307376612615,0.922483992420118,-0.03706569333173559
0.14,0.28,1.1486974426326919e-09,0.34131619195466434,440.7883475240842,99857.36293586006,190.0064799464121,1.1548614215533999,0.043118860740138536,0.00012962031260449732,-0.12042134748528614,0.030664013789995517,3.189015154152509e-18,-0.03593407791855531,0.8304905481414248,-0.03240797177546604
0.14,0.56,9.72064455856625e-10,0.3465904090527799,500.3889117360201,101770.60113713202,196.84570245220144,1.1188126003834653,0.040170511613179985,0.00012163349428238083,-0.10701679106462791,0.03734749364733551,2.908168636541641e-18,-0.03265409972322662,0.7484605103202361,-0.027779311141320925
0.14,1.5,1.1021306519866155e-09,0.3655277910637482,489.08836196660945,86591.33476171485,205.3068330052506,1.1929582726647683,0.0371455920798296,0.00010866869796836232,-0.09690189965256801,0.047169796351756936,2.5289884652612886e-18,-0.02785077570589665,0.840380092791941,-0.0210154546686118
0.14,2.7,1.1280015736790158e-09,0.37403945369524655,495.3590238543906,93042.45939851209,242.73671199613702,1.1647912116158237,0.033075180268346695,0.00010285980272887549,-0.09189161978238798,0.0532274422854387,2.2518836344848387e-18,-0.022516104578484287,0.8205503190362555,-0.01692662412849926
0.28,0.028,1.0092031213488963e-09,0.2914323203545621,459.33576921997843,109261.79969610568,153.24903713492606,1.2228613357693594,0.062014527921469394,0.0001510837605383849,-0.12969617205536954,0.005147340573358067,3.966314269952991e-18,-0.046908147779073914,1.0530321640859959,-0.047877530372098555
0.28,0.056,9.997541825140767e-10,0.2967735715098767,475.5701238305664,96142.1847973204,145.9334715632961,1.0596667379536047,0.05190281515779368,0.0001393875875398222,-0.12791021882793732,0.01301849906947685,3.5900081798614474e-18,-0.04373981238737763,1.0291260892318517,-0.04327422324190265
0.28,0.14,1.0264755024605953e-09,0.31383985447390256,489.89688146059365,105261.71993093943,173.24466040009284,1.035187563659179,0.05217297829642535,0.0001293740725830101,-0.1198995387206439,0.020780385078067565,3.3111798722757226e-18,-0.0392677589771915,0.9955746297458439,-0.03710323380134755
0.28,0.28,1.0444553065717863e-09,0.31748002995494007,506.43866223816076,109425.8246770462,181.54522559378344,1.1019771006740096,0.04278163581216263,0.00012430170121057021,-0.10233017470457494,0.027441499163980372,3.0257186902605945e-18,-0.03601305848244611,1.108186574282712,-0.03251077798098364
0.28,0.56,1.0631745288744432e-09,0.33862006335990397,511.6328207290201,111045.32634027248,205.37336505493582,1.1106533103582892,0.04198474182394686,0.00011398554965918137,-0.10708123118373651,0.03426279968950995,2.753608402273111e-18,-0.032678264767892345,0.9461676185580903,-0.027811531200875227
0.28,1.5,1.1024705569012406e-09,0.3556920990676248,531.3209131550843,109965.82524886294,184.28190159460286,1.0445792871645543,0.035070539301990576,0.00010406514675589356,-0.09760043126357407,0.03976518452955206,2.3216335221588924e-18,-0.027847081120414372,0.912530680523499,-0.02101052855463543
0.28,2.7,1.1446194592194844e-09,0.3681340616392942,540.435973053807,98533.70954576468,211.70999736335557,1.1320359363314734,0.02522762727737101,9.992498110830293e-05,-0.09214926159891665,0.0498516899323184,2.142327666478614e-18,-0.02505597309959375,0.8908170296200277,-0.01708137216634136
0.56,0.028,9.714483568531666e-10,0.26987999359304543,500.8648802544376,101052.16785639379,158.58145993306988,1.0881595939175122,0.05606879049057866,0.00014155824313737543,-0.13429482538643797,0.0016770755180518671,3.6954801664672e-18,-0.04706077279586289,1.123619555794841,-0.04808103039448385
0.56,0.056,1.0026366353772404e-09,0.2877984462962622,517.0808277857557,122451.85294000687,138.93370281642729,1.0250047875443564,0.05175165052863751,0.00013506041131663296,-0.12841297599243395,0.009060009522296832,3.4484233649626094e-18,-0.04361396056024881,1.1004367015106093,-0.04323242558629503
0.56,0.14,1.0299912503762392e-09,0.30903185504109304,533.1343214364199,119007.66666651776,174.10510406124757,1.0057943911349836,0.04268669830318619,0.00012505942185500694,-0.12072461304878891,0.01791935887902536,3.1661112809308817e-18,-0.03936449657575472,1.0697569913621092,-0.037049477147099275
0.56,0.28,9.390566593110366e-10,0.3285025503872959,579.9300998575717,107039.99848528497,173.98737305965628,1.1634810855758781,0.040881476807952594,0.00011957724812031247,-0.12144839512285954,0.02440270370908505,2.874488648745103e-18,-0.03601427427564672,1.1060406915497623,-0.03251239903858445
0.56,0.56,1.0741350899355016e-09,0.3336350271880909,557.6358250067752,116248.2132103977,166.14333395132874,1.0216146254883343,0.03408020686657675,0.00011022041860506566,-0.10679358859157774,0.028420277259600307,2.5575203524054028e-18,-0.032628021930563966,1.0193401989004627,-0.027657346996865288
0.56,1.5,1.232351646009462e-09,0.3402723718557555,555.6084497269605,104250.03959634171,198.00803719325074,1.0722661912855684,0.03021784050415261,0.00010241412478707377,-0.08556387605685789,0.041291649869050255,2.2365000624107093e-18,-0.027753485078755885,1.0366801864781972,-0.020885733832424112
0.56,2.7,1.1154781638819206e-09,0.3611075595891354,580.6603299985055,92006.41568433012,221.07976852621434,1.1946190287383858,0.028616425716484175,9.28156908271737e-05,-0.09142249610900001,0.04676965895319334,1.988497276233845e-18,-0.025078806654909223,0.9634392172043778,-0.017105075539878962
